country,annual_total_mm,mam_total_mm,mam_fraction_pct,mam_mean_rate_mm_day,n_cells
Kenya,794.98,363.17,45.68,3.95,48
Ethiopia,937.85,270.24,28.81,2.94,90
Tanzania,1273.26,426.16,33.47,4.63,75
Somalia,314.46,181.95,57.86,1.98,39
Uganda,1278.88,353.94,27.68,3.85,20
Rwanda,1059.38,357.46,33.74,3.89,1
Burundi,1362.71,476.25,34.95,5.18,2
East Africa,878.06,270.89,30.85,2.94,512
