country,model,lead_day,obs,bias,mae,rmse,pooled_corr,crps,n_pairs,n_cells
Kenya,graphcast,1,CHIRPS,-0.7939,3.7079,7.9228,0.3688,,4416,48
Ethiopia,graphcast,1,CHIRPS,-0.5208,3.0857,6.2012,0.3071,,8280,90
Tanzania,graphcast,1,CHIRPS,-0.6719,4.5989,8.8645,0.2961,,6900,75
Somalia,graphcast,1,CHIRPS,-0.1706,2.2106,5.5867,0.3118,,3588,39
Uganda,graphcast,1,CHIRPS,0.4618,3.9621,7.0075,0.2042,,1840,20
Rwanda,graphcast,1,CHIRPS,0.5237,3.8368,7.1607,0.2680,,92,1
Burundi,graphcast,1,CHIRPS,-0.8954,4.5444,7.9970,0.3192,,184,2
Kenya,graphcast,3,CHIRPS,-1.2181,3.7769,7.5543,0.3235,,4416,48
Ethiopia,graphcast,3,CHIRPS,-0.2918,3.3203,6.1814,0.2154,,8280,90
Tanzania,graphcast,3,CHIRPS,-1.5698,4.0903,8.1070,0.2730,,6900,75
Somalia,graphcast,3,CHIRPS,-0.3209,2.2723,4.8718,0.3092,,3588,39
Uganda,graphcast,3,CHIRPS,0.5658,3.7130,5.3158,0.2474,,1840,20
Rwanda,graphcast,3,CHIRPS,0.6188,4.1670,7.1830,0.1447,,92,1
Burundi,graphcast,3,CHIRPS,-1.5418,4.7883,7.8950,0.1434,,184,2
Kenya,graphcast,5,CHIRPS,-0.4400,4.3225,7.7506,0.2556,,4416,48
Ethiopia,graphcast,5,CHIRPS,0.1656,3.6870,6.4188,0.1727,,8280,90
Tanzania,graphcast,5,CHIRPS,-0.6582,4.4330,8.0799,0.2100,,6900,75
Somalia,graphcast,5,CHIRPS,-0.1091,2.4835,5.0938,0.2262,,3588,39
Uganda,graphcast,5,CHIRPS,2.7465,5.1653,6.8208,0.1421,,1840,20
Rwanda,graphcast,5,CHIRPS,1.1789,4.8391,7.6196,-0.0470,,92,1
Burundi,graphcast,5,CHIRPS,-0.8577,4.7082,7.5063,0.1893,,184,2
Kenya,graphcast,7,CHIRPS,-0.0191,4.8425,8.3421,0.1247,,4416,48
Ethiopia,graphcast,7,CHIRPS,0.4248,3.8976,6.6243,0.1536,,8280,90
Tanzania,graphcast,7,CHIRPS,0.1933,4.9703,8.4165,0.1504,,6900,75
Somalia,graphcast,7,CHIRPS,-0.5541,2.5267,5.3038,0.0673,,3588,39
Uganda,graphcast,7,CHIRPS,4.0805,5.9838,7.8432,0.1458,,1840,20
Rwanda,graphcast,7,CHIRPS,1.2565,4.9281,7.4119,0.0290,,92,1
Burundi,graphcast,7,CHIRPS,-0.0444,5.0400,7.3514,0.2291,,184,2
Kenya,neuralgcm,1,CHIRPS,-0.3005,3.9078,7.4906,0.3852,3.1174,4416,48
Ethiopia,neuralgcm,1,CHIRPS,-1.2609,2.7499,5.6943,0.3593,2.3257,8280,90
