n,obs_mean,fc_mean,bias,mae,rmse,pooled_corr,model,obs,lead_day,season
62464,2.060825889037435,1.34171045489371,-0.7191154341437248,1.8731500874467255,4.241661796102797,0.4240824045996646,fourcastnet,CHIRPS,1,JJAS
62464,2.060825889037435,1.956757198692792,-0.10406869034464261,2.033175333668838,4.8102150997735365,0.4327087426667155,gencast,CHIRPS,1,JJAS
62464,2.060825889037435,1.9691779963868745,-0.09164789265056023,2.2476011839474626,4.8204248892508845,0.32834224714299365,graphcast,CHIRPS,1,JJAS
62464,2.060825889037435,1.8722135227465668,-0.18861236629086803,2.1046176071304905,4.311950679234028,0.37320173336757445,neuralgcm,CHIRPS,1,JJAS
62464,2.060825889037435,1.376105322998411,-0.6847205660390234,1.8888020700913908,4.265093582505507,0.4192132492540355,fourcastnet,CHIRPS,3,JJAS
62464,2.060825889037435,1.9657743123368672,-0.09505157670056752,1.931394074241547,4.197380953021844,0.48110471024210977,gencast,CHIRPS,3,JJAS
62464,2.060825889037435,1.719718047277899,-0.34110784175953573,2.1834875126714564,4.439240337676295,0.3336831211816241,graphcast,CHIRPS,3,JJAS
62464,2.060825889037435,2.0831154947903383,0.02228960575290355,2.0093445752371335,4.0639983859813,0.46154531878024235,neuralgcm,CHIRPS,3,JJAS
62464,2.060825889037435,1.3527355813495443,-0.7080903076878903,1.896981899953458,4.279133260913597,0.4111183900574734,fourcastnet,CHIRPS,5,JJAS
62464,2.060825889037435,2.1403640916757958,0.07953820263836092,1.994742983309191,4.259381721013427,0.48558737619258435,gencast,CHIRPS,5,JJAS
62464,2.060825889037435,2.1713070594099197,0.11048117037248481,2.374822608841408,4.465869740295007,0.33607827356393016,graphcast,CHIRPS,5,JJAS
62464,2.060825889037435,1.8638087233573595,-0.1970171656800752,1.8980682892078098,3.9158436968605095,0.48260720182856565,neuralgcm,CHIRPS,5,JJAS
62464,2.060825889037435,1.370173469647673,-0.6906524193897616,1.911489785047522,4.295577164609013,0.40802512018657744,fourcastnet,CHIRPS,7,JJAS
62464,2.060825889037435,2.2045783096263665,0.14375242058893165,2.0346392990591307,4.392170013965855,0.46985466590393904,gencast,CHIRPS,7,JJAS
62464,2.060825889037435,2.379096047611488,0.31827015857405383,2.5472323899229616,4.52324772374611,0.3101989152787473,graphcast,CHIRPS,7,JJAS
62464,2.060825889037435,1.749652073536856,-0.31117381550057893,1.8606054062533348,3.8597565296214746,0.4909480954072117,neuralgcm,CHIRPS,7,JJAS
62464,2.1248439793221747,1.34171045489371,-0.7831335244284651,1.4335459720955832,3.8098247176575173,0.6278027027299924,fourcastnet,ERA5,1,JJAS
62464,2.1248439793221747,1.956757198692792,-0.16808678062938284,1.3005835781056607,3.49635319420574,0.7250608930076454,gencast,ERA5,1,JJAS
62464,2.1248439793221747,1.9691779963868745,-0.15566598293530048,1.8406525465314754,4.376808461775952,0.5075483569909733,graphcast,ERA5,1,JJAS
62464,2.1248439793221747,1.8722135227465668,-0.2526304565756083,1.8557599148704438,4.257060870778617,0.48340226633071093,neuralgcm,ERA5,1,JJAS
62464,2.1248439793221747,1.376105322998411,-0.7487386563237637,1.4705432919752124,3.908647286201524,0.601371866932249,fourcastnet,ERA5,3,JJAS
62464,2.1248439793221747,1.9657743123368672,-0.15906966698530778,1.410983037418031,3.538755981998274,0.6824297936094668,gencast,ERA5,3,JJAS
62464,2.1248439793221747,1.719718047277899,-0.405125932044276,1.8941025806767404,4.3220435982735985,0.4672949413628317,graphcast,ERA5,3,JJAS
62464,2.1248439793221747,2.0831154947903383,-0.0417284845318367,1.8814966084278986,4.136617811170029,0.5221128938762248,neuralgcm,ERA5,3,JJAS
62464,2.1248439793221747,1.3527355813495443,-0.7721083979726303,1.4811777370197217,3.921423551487757,0.5982858832690875,fourcastnet,ERA5,5,JJAS
62464,2.1248439793221747,2.1403640916757958,0.01552011235362065,1.5344162154393697,3.684519399877891,0.6601982604982181,gencast,ERA5,5,JJAS
62464,2.1248439793221747,2.1713070594099197,0.04646308008774456,2.1274435575968855,4.403901834969521,0.44521392866523807,graphcast,ERA5,5,JJAS
62464,2.1248439793221747,1.8638087233573595,-0.26103525596481547,1.7769367590002116,4.030354921562563,0.5438279009503981,neuralgcm,ERA5,5,JJAS
62464,2.1248439793221747,1.370173469647673,-0.754670509674502,1.5037593000777636,3.9627756304141375,0.5871354644724842,fourcastnet,ERA5,7,JJAS
62464,2.1248439793221747,2.2045783096263665,0.0797343303041914,1.6198880751526694,3.8338919099223636,0.6384574477437742,gencast,ERA5,7,JJAS
62464,2.1248439793221747,2.379096047611488,0.25425206828931357,2.399550533637471,4.61584380579852,0.37652401332580376,graphcast,ERA5,7,JJAS
62464,2.1248439793221747,1.749652073536856,-0.3751919057853191,1.7680396624663675,4.062932782756511,0.5349439523577391,neuralgcm,ERA5,7,JJAS
62342,2.2264403139973727,1.3443061618032115,-0.8821341521941608,2.093930370500517,4.607970277827315,0.38679960634604743,fourcastnet,TAMSAT,1,JJAS
62342,2.2264403139973727,1.9605416350942462,-0.26589867890312613,2.2975243048046785,5.195867049160839,0.37987810182963433,gencast,TAMSAT,1,JJAS
62342,2.2264403139973727,1.9725499320927717,-0.253890381904601,2.447280338700631,5.0968306995572386,0.307466686867509,graphcast,TAMSAT,1,JJAS
62342,2.2264403139973727,1.8755875314472124,-0.3508527825501601,2.3546898602241,4.682552924540907,0.32929056745488894,neuralgcm,TAMSAT,1,JJAS
62342,2.2264403139973727,1.3787674997978656,-0.8476728141995069,2.071984585152823,4.574329213763622,0.3990735294688084,fourcastnet,TAMSAT,3,JJAS
62342,2.2264403139973727,1.9695685725797258,-0.2568717414176465,2.1501376872132716,4.499823794212164,0.45370163318890183,gencast,TAMSAT,3,JJAS
62342,2.2264403139973727,1.7225897127594545,-0.503850601237918,2.3265513724255755,4.660972725043982,0.3405172275361488,graphcast,TAMSAT,3,JJAS
62342,2.2264403139973727,2.0868203940603887,-0.13961991993698394,2.2295465046992926,4.430883775985338,0.4180377581732376,neuralgcm,TAMSAT,3,JJAS
62342,2.2264403139973727,1.3553524097475582,-0.8710879042498142,2.0657034800213427,4.552307309319493,0.4027882249385162,fourcastnet,TAMSAT,5,JJAS
62342,2.2264403139973727,2.1444918485168993,-0.08194846548047278,2.207531973578808,4.53999388079565,0.46062327759755123,gencast,TAMSAT,5,JJAS
62342,2.2264403139973727,2.175121307811166,-0.051319006186206426,2.523677678564062,4.660487735000338,0.34483790658901825,graphcast,TAMSAT,5,JJAS
62342,2.2264403139973727,1.8671885948818507,-0.35925171911552173,2.110407522524945,4.2696916431856895,0.4468593856132435,neuralgcm,TAMSAT,5,JJAS
62342,2.2264403139973727,1.3728253330930158,-0.8536149809043567,2.0744955102699394,4.555651541127204,0.4032739276308807,fourcastnet,TAMSAT,7,JJAS
62342,2.2264403139973727,2.2088389544966502,-0.01760135950072196,2.2325361104168677,4.6501373014884475,0.4487222416819022,gencast,TAMSAT,7,JJAS
62342,2.2264403139973727,2.383343623527336,0.15690330952996365,2.691962224926092,4.7303946473098435,0.3140921800323374,graphcast,TAMSAT,7,JJAS
62342,2.2264403139973727,1.7526516118505138,-0.4737887021468587,2.0819751574249183,4.215197675094514,0.4566580314406129,neuralgcm,TAMSAT,7,JJAS
