nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.5,0.24147301189121162,1.221928609431093,gencast,CHIRPS,1,JJAS
0.8,0.37532967201013345,2.334486469323532,gencast,CHIRPS,1,JJAS
0.9,0.41826801579772005,2.9698565159481483,gencast,CHIRPS,1,JJAS
0.5,0.2581057076102059,1.5928236066748351,gencast,CHIRPS,3,JJAS
0.8,0.4135065601055913,2.972957192426251,gencast,CHIRPS,3,JJAS
0.9,0.4584715289366955,3.7849094851799006,gencast,CHIRPS,3,JJAS
0.5,0.25777541204384874,1.710373814475994,gencast,CHIRPS,5,JJAS
0.8,0.42730918680719027,3.277439390872307,gencast,CHIRPS,5,JJAS
0.9,0.4766338583651111,4.276318339518299,gencast,CHIRPS,5,JJAS
0.5,0.27334602953023374,1.8508264059084556,gencast,CHIRPS,7,JJAS
0.8,0.4581088430577548,3.544247564533271,gencast,CHIRPS,7,JJAS
0.9,0.5055452311776396,4.6303146748581305,gencast,CHIRPS,7,JJAS
0.5,0.3534707483557029,1.221928609431093,gencast,ERA5,1,JJAS
0.8,0.5769183299014694,2.334486469323532,gencast,ERA5,1,JJAS
0.9,0.6526514156467823,2.9698565159481483,gencast,ERA5,1,JJAS
0.5,0.3728395414017553,1.5928236066748351,gencast,ERA5,3,JJAS
0.8,0.6025122474154591,2.972957192426251,gencast,ERA5,3,JJAS
0.9,0.6746667099194783,3.7849094851799006,gencast,ERA5,3,JJAS
0.5,0.36166398163406666,1.710373814475994,gencast,ERA5,5,JJAS
0.8,0.5981977463372846,3.277439390872307,gencast,ERA5,5,JJAS
0.9,0.6722286583564332,4.276318339518299,gencast,ERA5,5,JJAS
0.5,0.38043763019915366,1.8508264059084556,gencast,ERA5,7,JJAS
0.8,0.62224299339518,3.544247564533271,gencast,ERA5,7,JJAS
0.9,0.6938357203931413,4.6303146748581305,gencast,ERA5,7,JJAS
0.5,0.22477887995302698,1.178057904607912,neuralgcm,CHIRPS,1,JJAS
0.8,0.42764950512140976,2.1605988012623687,neuralgcm,CHIRPS,1,JJAS
0.9,0.4689306573962237,2.698265590229098,neuralgcm,CHIRPS,1,JJAS
0.5,0.3638071509433242,1.6715076926157237,neuralgcm,CHIRPS,3,JJAS
0.8,0.5633861710109551,2.9669973390103457,neuralgcm,CHIRPS,3,JJAS
0.9,0.606148873788975,3.67181962931191,neuralgcm,CHIRPS,3,JJAS
0.5,0.3486528623815996,1.6519443778739769,neuralgcm,CHIRPS,5,JJAS
0.8,0.5593097869492739,2.9831095074160827,neuralgcm,CHIRPS,5,JJAS
0.9,0.6020523877260128,3.69275294226097,neuralgcm,CHIRPS,5,JJAS
0.5,0.3397384157397527,1.714431661457001,neuralgcm,CHIRPS,7,JJAS
0.8,0.5692633342255772,3.057920357143641,neuralgcm,CHIRPS,7,JJAS
0.9,0.6113126841144081,3.7591752925383006,neuralgcm,CHIRPS,7,JJAS
0.5,0.3099453447144985,1.178057904607912,neuralgcm,ERA5,1,JJAS
0.8,0.5305669598718536,2.1605988012623687,neuralgcm,ERA5,1,JJAS
0.9,0.5908311632200326,2.698265590229098,neuralgcm,ERA5,1,JJAS
0.5,0.38800484501515003,1.6715076926157237,neuralgcm,ERA5,3,JJAS
0.8,0.6077465897315699,2.9669973390103457,neuralgcm,ERA5,3,JJAS
0.9,0.6679172230443705,3.67181962931191,neuralgcm,ERA5,3,JJAS
0.5,0.3891199172062121,1.6519443778739769,neuralgcm,ERA5,5,JJAS
0.8,0.6211062938181829,2.9831095074160827,neuralgcm,ERA5,5,JJAS
0.9,0.6833974013708355,3.69275294226097,neuralgcm,ERA5,5,JJAS
0.5,0.3950371986373545,1.714431661457001,neuralgcm,ERA5,7,JJAS
0.8,0.6398760327798763,3.057920357143641,neuralgcm,ERA5,7,JJAS
0.9,0.7010287179787387,3.7591752925383006,neuralgcm,ERA5,7,JJAS
