nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.5,0.23606875380609316,1.4561678032984715,gencast,CHIRPS,1,annual
0.8,0.3692309032754216,2.7647379069208298,gencast,CHIRPS,1,annual
0.9,0.41180907091200314,3.5285342082717386,gencast,CHIRPS,1,annual
0.5,0.2541258477276599,1.8449476266618705,gencast,CHIRPS,3,annual
0.8,0.40827334731069803,3.4656104174067033,gencast,CHIRPS,3,annual
0.9,0.4534224626277087,4.465499508735183,gencast,CHIRPS,3,annual
0.5,0.2610827875799148,2.013989166508768,gencast,CHIRPS,5,annual
0.8,0.4263270416602759,3.8638390203022346,gencast,CHIRPS,5,annual
0.9,0.4742917953181732,5.046932469095623,gencast,CHIRPS,5,annual
0.5,0.27279658411582197,2.1131009528660734,gencast,CHIRPS,7,annual
0.8,0.45000593548778745,4.0819879371767875,gencast,CHIRPS,7,annual
0.9,0.49598115390483444,5.331432767800187,gencast,CHIRPS,7,annual
0.5,0.3524019893436026,1.4561678032984715,gencast,ERA5,1,annual
0.8,0.5764710446199761,2.7647379069208298,gencast,ERA5,1,annual
0.9,0.6532362860590809,3.5285342082717386,gencast,ERA5,1,annual
0.5,0.37463360612870167,1.8449476266618705,gencast,ERA5,3,annual
0.8,0.6049031766035211,3.4656104174067033,gencast,ERA5,3,annual
0.9,0.6771004260871611,4.465499508735183,gencast,ERA5,3,annual
0.5,0.3718017796127639,2.013989166508768,gencast,ERA5,5,annual
0.8,0.6055421959006928,3.8638390203022346,gencast,ERA5,5,annual
0.9,0.679450102108745,5.046932469095623,gencast,ERA5,5,annual
0.5,0.3853505915857817,2.1131009528660734,gencast,ERA5,7,annual
0.8,0.6235120139008197,4.0819879371767875,gencast,ERA5,7,annual
0.9,0.6943624929371762,5.331432767800187,gencast,ERA5,7,annual
0.5,0.23604111309743148,1.386870092598188,neuralgcm,CHIRPS,1,annual
0.8,0.4157123777508691,2.5518405318945545,neuralgcm,CHIRPS,1,annual
0.9,0.46100288302016595,3.230509173741444,neuralgcm,CHIRPS,1,annual
0.5,0.32766331491219414,1.8936515946374073,neuralgcm,CHIRPS,3,annual
0.8,0.5195964652035634,3.3871147048893193,neuralgcm,CHIRPS,3,annual
0.9,0.5619912361291461,4.192012422246373,neuralgcm,CHIRPS,3,annual
0.5,0.3255769581508679,1.8894369043091688,neuralgcm,CHIRPS,5,annual
0.8,0.5176595310969746,3.425540578566745,neuralgcm,CHIRPS,5,annual
0.9,0.5603175945051457,4.24513878327153,neuralgcm,CHIRPS,5,annual
0.5,0.32584411568745364,2.142724295947714,neuralgcm,CHIRPS,7,annual
0.8,0.5291003967631918,3.9100245434828387,neuralgcm,CHIRPS,7,annual
0.9,0.5731137860271026,4.883797257639706,neuralgcm,CHIRPS,7,annual
0.5,0.3188439392805834,1.386870092598188,neuralgcm,ERA5,1,annual
0.8,0.5296130110291771,2.5518405318945545,neuralgcm,ERA5,1,annual
0.9,0.5963605487321135,3.230509173741444,neuralgcm,ERA5,1,annual
0.5,0.38118355396180276,1.8936515946374073,neuralgcm,ERA5,3,annual
0.8,0.598377010257378,3.3871147048893193,neuralgcm,ERA5,3,annual
0.9,0.6586496214712256,4.192012422246373,neuralgcm,ERA5,3,annual
0.5,0.38118324492336725,1.8894369043091688,neuralgcm,ERA5,5,annual
0.8,0.6033306954856524,3.425540578566745,neuralgcm,ERA5,5,annual
0.9,0.665306736391415,4.24513878327153,neuralgcm,ERA5,5,annual
0.5,0.38799234528517923,2.142724295947714,neuralgcm,ERA5,7,annual
0.8,0.6227287415036004,3.9100245434828387,neuralgcm,ERA5,7,annual
